timestamp,src_ip,dst_ip,domain,proto,dur,spkts,dpkts,sbytes,dbytes,rate
2026-09-19T08:00:00,10.0.5.230,203.0.17.24,cdn.jsdelivr.net,udp,0.21,18,16,3697,2326,110.73
2026-09-19T08:00:07,10.0.5.181,203.0.17.109,cdn.jsdelivr.net,udp,0.248,14,15,8319,474,84.63
2026-09-19T08:00:14,10.0.1.247,203.0.10.28,api.github.com,tcp,2.233,56,1,2655,6964,51.7
2026-09-19T08:00:21,10.0.0.251,203.0.12.22,verify-account-now.xyz,udp,2.878,23,39,4373,751,109.73
2026-09-19T08:00:28,10.0.5.60,203.0.9.254,normal-cdn.example.com,tcp,5.033,57,56,5965,3190,105.98
2026-09-19T08:00:35,10.0.1.173,203.0.8.181,mail.google.com,tcp,6.933,25,18,7468,6017,25.24
2026-09-19T08:00:42,10.0.5.144,203.0.7.177,cdn.jsdelivr.net,tcp,1.377,47,16,2717,7613,57.54
2026-09-19T08:00:49,10.0.1.235,203.0.18.226,normal-cdn.example.com,tcp,6.21,15,53,565,5208,60.77
2026-09-19T08:00:56,10.0.5.145,203.0.17.69,api.github.com,udp,3.999,57,59,7557,2380,40.47
2026-09-19T08:01:03,10.0.0.41,203.0.20.42,normal-cdn.example.com,tcp,4.672,24,15,2306,8388,74.53
2026-09-19T08:01:10,10.0.5.186,203.0.3.176,normal-cdn.example.com,udp,3.084,39,30,8709,4159,145.69
2026-09-19T08:01:17,10.0.5.226,203.0.8.250,normal-cdn.example.com,udp,6.151,22,8,4848,7163,24.57
2026-09-19T08:01:24,10.0.2.197,203.0.5.140,api.github.com,udp,4.066,7,56,4929,8357,91.74
2026-09-19T08:01:31,10.0.1.16,203.0.7.226,mail.google.com,udp,4.796,32,2,1872,5987,131.93
2026-09-19T08:01:38,10.0.5.123,203.0.17.44,api.github.com,tcp,0.694,32,53,1173,8767,115.11
2026-09-19T08:01:45,10.0.5.168,203.0.11.114,free-gift-cards.biz,udp,4.857,14,60,8875,3335,107.23
2026-09-19T08:01:52,10.0.0.183,203.0.20.17,normal-cdn.example.com,udp,1.991,5,22,384,3810,88.68
2026-09-19T08:01:59,10.0.1.140,203.0.4.187,google-drive-share.co,udp,22.199,1853,790,739131,449565,1412.65
2026-09-19T08:02:06,10.0.3.92,203.0.13.107,cdn.jsdelivr.net,tcp,1.952,31,52,6709,3159,15.05
2026-09-19T08:02:13,10.0.0.65,203.0.6.50,mail.google.com,udp,0.443,42,42,1652,1033,60.99
2026-09-19T08:02:20,10.0.0.14,203.0.20.140,verify-account-now.xyz,tcp,3.381,18,30,4132,1275,67.03
2026-09-19T08:02:27,10.0.3.233,203.0.1.44,api.github.com,tcp,7.412,55,16,2764,6698,73.36
2026-09-19T08:02:34,10.0.5.185,203.0.15.41,normal-cdn.example.com,udp,47.33,3711,3715,677110,499105,1730.62
2026-09-19T08:02:41,10.0.0.151,203.0.15.130,normal-cdn.example.com,udp,7.75,38,48,8923,1038,112.45
2026-09-19T08:02:48,10.0.1.105,203.0.3.243,cdn.jsdelivr.net,udp,7.687,6,55,3084,1162,89.66
2026-09-19T08:02:55,10.0.1.173,203.0.10.63,mail.google.com,tcp,4.76,40,6,6908,8605,48.14
2026-09-19T08:03:02,10.0.4.27,203.0.2.139,verify-account-now.xyz,udp,5.377,20,30,5220,1228,2.39
2026-09-19T08:03:09,10.0.3.215,203.0.17.182,api.github.com,tcp,1.068,23,57,1167,4042,56.06
2026-09-19T08:03:16,10.0.1.69,203.0.3.229,normal-cdn.example.com,tcp,7.898,42,34,168,4945,139.83
2026-09-19T08:03:23,10.0.2.131,203.0.15.66,cdn.jsdelivr.net,tcp,1.252,19,39,3490,5657,31.34
2026-09-19T08:03:30,10.0.1.191,203.0.14.143,microsoft-support.info,tcp,49.65,1633,680,203717,549759,2496.46
